作品编号,专家1,专家1评分,专家2,专家2评分,专家3,专家3评分
277,A1,80,A3,70,A17,82
278,A6,62,A14,50,A15,60
279,A7,72,A18,55,A19,49
280,A10,70,A11,60,A12,73
281,A1,65,A3,65,A17,74
282,A6,65,A14,62,A15,76
283,A7,73,A18,60,A19,53
284,A10,76,A11,60,A12,70
285,A1,65,A3,65,A17,77
286,A6,67,A14,70,A15,73
287,A7,65,A18,55,A19,48
288,A10,68,A11,60,A12,71
289,A1,85,A3,80,A17,85
290,A6,50,A14,64,A15,67
291,A7,65,A18,68,A19,44
292,A10,66,A11,65,A12,70
293,A1,65,A3,60,A17,79
294,A6,45,A14,55,A15,53
295,A7,65,A18,68,A19,61
296,A10,80,A11,75,A12,81
297,A1,65,A3,50,A17,76
298,A6,65,A14,67,A15,66
299,A7,65,A18,65,A19,49
300,A10,76,A11,65,A12,67
301,A1,60,A3,60,A17,69
302,A6,65,A14,67,A15,66
303,A7,60,A18,40,A19,59
304,A10,68,A11,50,A12,68
305,A1,60,A3,55,A17,73
306,A6,85,A14,80,A15,73
307,A7,60,A18,60,A19,47
308,A10,74,A11,70,A12,83
